_key,killedUsingWeapon,hasIBCCode
11292,9mm gunfire,d9071-bh2632
11293,9mm gunfire,d9071-nk2547
11294,assassinated,d1654-sw728
11295,gunfire,k4634-fn634
11296,gunfire,k4640-xm841
11297,gunfire,k4644-nz654
11298,gunfire,k4645-bk775
11299,gunfire,k4646-nx820
11300,gunfire,k4657-ur726
11301,stabbed,d9070-nh2617
11302, head injury,d9070-nh2617
11303,booby-trapped doll,k4623-ef811
11304,booby-trapped doll,k4623-df848
11305,booby-trapped doll,k4623-eh865
11306,suicide car bomb,k4625-nd844
11307,US sniper fire,k4628-xz840
11308,drive-by shooting,k4629-kz755
11309,gunfire,k4630-hr821
11310,gunfire,k4633-bc836
11311,gunfire,k4643-kd824
11312,gunfire,k4643-bd837
11313,murdered,d9067-ux2628
11314,9mm gunfire,d9068-kw2551
11315,gunfire,d9069-bn2418
11316,gunfire,d13149-hz3602
11317,hanged,d9073-fd2636
11318, murdered,d9073-fd2636
11319,drive-by shooting,k4616-dw849
11320,drive-by shooting,k4616-zx799
11321,gunfire,d1638-zn744
11322,US gunfire,d4425-ke1678
11323,US gunfire,d4425-nf1799
11324,gunfire,d10203-hu2837
11325,drive-by shooting,k4610-xe791
11326,drive-by shooting,k4611-ea864
11327,gunfire,k4612-dx795
11328,gunfire,d0758-dn636
11329,gunfire,d0758-uz653
11330,gunfire,d0759-vs715
11331,gunfire,d0763-ek711
11332,gunfire,d0764-eu645
11333, executed,d0764-eu645
11334,9mm gunfire,d9066-kx2613
11335, executed,d9066-kx2613
11336,gunfire,d0755-xr834
11337,gunfire,d8926-xd2454
11338,gunfire,d8926-kx2653
11339,gunfire,k4580-bh776
11340,gunfire,k4581-nk819
11341,drive-by shooting,k4583-fb694
11342,drive-by shooting,k4586-bv769
11343,gunfire,k4587-hz714
11344, tortured,k4587-hz714
11345, executed,k4587-hz714
11346,gunfire,k4587-fb1750
11347, tortured,k4587-fb1750
11348, executed,k4587-fb1750
11349,drive-by shooting,k4588-bz843
11350,gunfire,d1634-dh874
11351, assassinated,d1634-dh874
11352,drive-by shooting,d8991-xa2565
11353,drive-by shooting,d9065-xd2430
11354,gunfire,d10472-ec2730
11355,gunfire,k4589-fe1067
11356, executed,k4589-fe1067
11357, tortured,k4589-fe1067
11358,Iraqi Police gunfire,d4999-ke1958
11359,gunfire,d10225-nv2855
11360,gunfire,k4552-nz646
11361,drive-by shooting,k4556-fs841
11362,gunfire,k4558-hn824
11363,gunfire,k4559-sd859
11364,gunfire,d0741-em644
11365,9mm gunfire,d9048-ke2510
11366, executed,d9048-ke2510
11367,gunfire,d9049-nf2631
11368,9mm gunfire,d9050-ka2548
11369,9mm gunfire,d9061-nm2426
11370, executed,d9061-nm2426
11371,gunfire,k4561b-xk1890
11372, executed,k4561b-xk1890
11373,gunfire,k4561b-bw1763
11374, executed,k4561b-bw1763
11375,suicide bombers,k4537-ua811
11376,gunfire,k4554-nx828
11377,Gunfire,x847-bn698
11378,Gunfire,x857-hc823
11379,kidnapped,d0736-xf782
